Aada;Aado
Abadon;Abadone
Ábel;Ábeli
Abigail;Abigailo
Abraham;Abrahame
Absolón;Absolóne
Adalberta;Adalberto
Adam;Adame
Adamec;Adamče
Adelaida;Adelaido
Adolf;Adolfe
Adolfa;Adolfo
Adrienne;Adrienno
Afra;Afro
Agaton;Agatone
Aglaja;Aglajo
Agnes;Agnes
Achilles;Achille
Aino;Aino
Ajax;Ajaxi
Aksel;Akseli
Akseli;Akseli
Alan;Alane
Alana;Alano
Albert;Alberte
Alberta;Alberto
Alberte;Alberte
Albrecht;Albrechte
Aleksi;Aleksii
Alena;Aleno
Aleš;Aleši
Alex;Alexi
Alexander;Alexandre
Alexandr;Alexandře
Alexandra;Alexandro
Alexej;Alexeji
Alfréd;Alfréde
Alice;Alice
Alicia;Alicie
Alina;Alino
Alois;Aloisi
Aloisie;Aloisie
Alva;Alvo
Alvin;Alvine
Alwa;Alwo
Amalie;Amalie
Amálie;Amálie
Amand;Amande
Amanda;Amando
Amáta;Amáto
Ambrož;Ambroži
Amos;Amosi
Amy;Amy
Anakreon;Anakreone
Anastáz;Anastázi
Anastázie;Anastázie
Anatólie;Anatólie
Anaxagoras;Anaxagore
Anděl;Anděli
Anděla;Andělo
Anders;Andersi
Andrea;Andreo
Andrej;Andreji
Andrew;Andrew
Anežka;Anežko
Angus;Angusi
Anchuej;Anchueji
Anita;Anito
Anna;Anno
Anni;Annio
Anouilh;Anouilhi
Anselm;Anselme
Anselma;Anselmo
Anton;Antone
Antonín;Antoníne
Apolena;Apoleno
Aranka;Aranko
Arbes;Arbesi
Archimedes;Archimede
Ariana;Ariano
Ariel;Arieli
Aristoteles;Aristotele
Arkád;Arkáde
Arleta;Arleto
Armin;Armine
Arna;Arno
Arnar;Arnare
Arnold;Arnolde
Arnoštka;Arnoštko
Aron;Arone
Árón;Áróne
Artemis;Artemido
Artur;Arture
Arvid;Arvide
Arya;Aryo
Arzen;Arzene
Asterix;Asterixi
Atanázie;Atanázie
Atila;Atilo
Atlas;Atlasi
Aurel;Aureli
Aurélie;Aurélie
Axel;Axeli
Babeta;Babeto
Balázs;Balázsi
Baláž;Baláži
Baltazar;Baltazare
Balzac;Balzacu
Barrande;Barrande
Bart;Barte
Bartoloměj;Bartoloměji
Beáta;Beáto
Beatus;Beate
Beaufort;Beauforte
Bedřiška;Bedřiško
Běla;Bělo
Benedikt;Benedikte
Benedikta;Benedikto
Beneš;Beneši
Bernadette;Bernadette
Bernard;Bernarde
Bernarda;Bernardo
Bertolda;Bertoldo
Bertram;Bertrame
Bibiana;Bibiano
Bilbo;Bilbo
Bill;Bille
Birgit;Birgit
Blahomil;Blahomile
Blahomila;Blahomilo
Blahoslav;Blahoslave
Blahoslava;Blahoslavo
Blažena;Blaženo
Bleibtreu;Bleibtreui
Bohdan;Bohdane
Bohumil;Bohumile
Bohumila;Bohumilo
Bohuna;Bohuno
Bohuslav;Bohuslave
Bojan;Bojane
Bojana;Bojano
Boleslav;Boleslave
Boleslava;Boleslavo
Bono;Bono
Boris;Borisi
Boromir;Boromire
Bořislav;Bořislave
Božena;Boženo
Božetěch;Božetěchu
Božidara;Božidaro
Božislav;Božislave
Bran;Brane
Brandon;Brandone
Branislav;Branislave
Braque;Braque
Bratislava;Bratislavo
Brian;Briane
Brienne;Brienne
Brigita;Brigito
Britta;Britto
Bronislava;Bronislavo
Bronn;Bronne
Brontosaurus;Brontosaure
Brown;Browne
Bruce;Bruci
Brunhilda;Brunhildo
Bruno;Bruno
Budimír;Budimíre
Budivoj;Budivoji
Buďonnyj;Buďonný
Bůh;Bože
Byrne;Byrne
Carmen;Carmen
Caroline;Caroline
Catelyn;Catelyn
Catherin;Catherin
Cecílie;Cecílie
Celestýn;Celestýne
Celie;Celie
Ceres;Cerero
Cerneţ;Cerneţi
Cersei;Cersei
Claire;Claire
Clara;Claro
Coleridge;Coleridgi
Cooper;Coopere
Corneille;Corneilli
Ctibor;Ctibore
Ctibora;Ctiboro
Ctislav;Ctislave
Ctislava;Ctislavo
Cyklus;Cykle
Cyril;Cyrile
Cyrila;Cyrilo
